metabolite,log2FC,pval,padj
"3,5-Diiodothyronine",0.013056215190401677,0.2522360815419962,0.4402233498610311
Glycolithocholic acid-3-Sulfate,-0.28287838543016175,0.25691062662804387,0.4441912703382067
Leucylphenylalanine,0.08198246497902129,0.26125288384945955,0.44751651400138903
Cholesterol sulfate,0.257262708808609,0.26618223484354336,0.45177718757849106
Vitamin B7,-0.004335925075596818,0.2701983982013905,0.45442457879324766
Decanoylcarnitine,0.2353838906892065,0.2732018898522469,0.4553364830870782
Phenylacetylglycine,0.0237038866723408,0.28727915777426366,0.4745236088235605
3-Phenylbutyric acid,-0.050580841830765166,0.3102725646745176,0.5079683580954492
N-Acetylserotonin,-0.0019519776605287347,0.3230153250811466,0.5241915363158958
Indole-3-carboxaldehyde,0.15124221007627492,0.3327671973595211,0.534226313784183
Phenyllactic acid,0.07768591160257632,0.3349743372917039,0.534226313784183
5'-Deoxyadenosine,-0.0018178941901221823,0.3855217028596096,0.5615867325122652
Taurochenodeoxycholic acid (TCDCA),-0.20683713760727152,0.35808495466734047,0.5615867325122652
Hydrocinnamic acid,-0.011470300561763125,0.38552170285967446,0.5615867325122652
Benzamide,-0.004531639658556963,0.38552170285962406,0.5615867325122652
Indole-3-acetamide,-0.003923167405455397,0.3855217028596615,0.5615867325122652
Gallic acid,-0.01142601057610726,0.3855217028597713,0.5615867325122652
4-Hydroxybenzaldehyde,-0.10279252378999715,0.3775077439089175,0.5615867325122652
Taurodeoxycholic acid (TDCA),-0.19434941552719742,0.3853774008685804,0.5615867325122652
Ursocholic acid (UCA),-0.010768407202715657,0.38552170285955,0.5615867325122652
N-acetyltryptophan,-0.06246170286618202,0.36044130004023556,0.5615867325122652
Deoxycorticosterone acetate,-0.006250838604199949,0.38552170285962983,0.5615867325122652
Phenylpyruvic acid,0.058472298674567824,0.3946137430003144,0.5703401754301418
Glycohyodeoxycholic acid,0.2617103435245931,0.4026727776908733,0.5774764641303222
2-Hydroxy-4-(methylthio)butanoic acid,0.06169085389629636,0.40616271629786616,0.5780007885777326
Pregnenolone sulfate,0.12068037846362323,0.43003771507882294,0.6073051701494828
Linoleoyl ethanolamide,-0.13216747176016042,0.45231253764761936,0.6198356997393303
Thyroxine,0.17376909564581933,0.4520704268364163,0.6198356997393303
Biliverdin,0.2259729211503405,0.45009461095632775,0.6198356997393303
Ricinoleic acid,0.06762283248988243,0.44389788047643863,0.6198356997393303
Hippuric acid,0.19198637943712882,0.46237744245290036,0.6289693151013718
Anandamide,0.11528895447575938,0.4792847365857449,0.6472093158274658
Serotonin,0.07098914699985137,0.510161009517315,0.6498367474952526
Cortisone,0.1842862856206393,0.5107010255767486,0.6498367474952526
3-Methyladipic acid,0.09917313080293733,0.49876141187105416,0.6498367474952526
Chenodeoxycholic acid (CDCA),0.2196651230806559,0.5138078474595378,0.6498367474952526
Isodeoxycholic acid (IsoDCA),0.18133546973260817,0.5160268917349331,0.6498367474952526
Deoxycholic acid (DCA),0.16884180143618366,0.5027757700960107,0.6498367474952526
Myristelaidic acid,0.02028364582064235,0.5087905980815781,0.6498367474952526
Cortexolone,0.12277783574948797,0.5163567669286602,0.6498367474952526
Ursodeoxycholic acid (UDCA),-0.06709504265151178,0.5057666343316916,0.6498367474952526
Taurohyodeoxycholic acid,0.07950792913867621,0.5002628109088683,0.6498367474952526
2-Aminophenol,0.021006615229032022,0.5309318074527208,0.663664759315901
Beta-Hyodeoxycholic acid (Â¦Ã-HDCA),-0.08229039131475702,0.5363717395502086,0.665964911522071
12-hydroxystearic acid,-0.08573902139686673,0.5721655288079553,0.700997502181932
2-Hydroxycaproic acid,0.10661908170385814,0.5719336276092903,0.700997502181932
Apocholic acid,-0.09719620945239527,0.6020418890056012,0.727959146836838
Arachidic acid,0.044867171685524454,0.6013156464880798,0.727959146836838
Glycoursodeoxycholic acid (GUDCA),0.1316944638389308,0.6181411215794003,0.7425721265726561
Corticosterone,0.11119206256821834,0.6411464307378715,0.7598790039985839
Glycerol-myristate,0.16824936158438142,0.6448702898798793,0.7598790039985839
Pyrrole-2-carboxylic acid,0.06938285679729495,0.6387257486375973,0.7598790039985839
Dodecanoylcarnitine,0.05651697885777096,0.6551915470867333,0.7647126775650117
Beta-Ursodeoxycholic acid (Â¦Ã-UDCA),-0.056434466625587376,0.6572395445018209,0.7647126775650117
Docosanoic acid,-0.04408286427058883,0.6741123572916277,0.7794424131184444
Theophylline,0.1406301706983446,0.6801007389558842,0.781482215570426
"3,4-Dihydroxyhydrocinnamic acid",-0.028305394763557423,0.7010540972730067,0.8005864691080632
Homovanillic acid,-0.03264599370425936,0.7375062953995782,0.8370470223860244
Glycodeoxycholic acid (GDCA),-0.07560458280461191,0.7597241511873429,0.8570059022540149
3-Methoxytyramine,0.02255414994352048,0.7835045045301167,0.8731827309522384
Taurocholic acid (TCA),0.05658945815098093,0.7815834707455329,0.8731827309522384
Methyl vanillate,0.004554348687388021,0.7952747885159672,0.8757490230681781
Phenylalanylalanine,-0.02665626488083772,0.7947377726611737,0.8757490230681781
Cholic acid (CA),0.08525014918770646,0.8007791101387308,0.8765925170157705
Quinaldic acid,-0.00823443262624289,0.8152597456872461,0.8871944291302384
Leucylalanine,0.005546411946148744,0.8552421995919464,0.9252620287983045
Vanillic acid,-0.021813207666614876,0.8640060401061487,0.9293088222071948
4-Hydroxyphenylpyruvic acid,-0.030835412294662135,0.8715106421449677,0.9319622473804567
Isolithocholic acid (IsoLCA),0.019599740714644653,0.8984360195986858,0.9390432973206603
3-Hydroxybenzaldehyde,0.0024684602474165374,0.8971695422961106,0.9390432973206603
4-Hydroxyhippuric acid,-0.0014145285560757115,0.8959207221477711,0.9390432973206603
Tricosanoic acid,0.01904528765641267,0.8838848407862882,0.9390432973206603
Glycochenodeoxycholic acid (GCDCA),0.033132177017119346,0.9103880932759347,0.9410475856491312
Elaidic acid,0.008766320227822533,0.910527123411862,0.9410475856491312
Petroselinic acid,0.026966968353379528,0.9304675243485587,0.9498388107091769
Glycocholic acid (GCA),-0.020334138302002813,0.9335923549088645,0.9498388107091769
Beta-Muricholic acid (Â¦Ã-MCA),0.0016669329244045628,0.9344360191841632,0.9498388107091769
Salicylamide,0.009380658662008212,0.9554176190793673,0.9606101061395812
Hyodeoxycholic acid (HDCA),-0.018617825243866015,0.9507860746302093,0.9606101061395812
"2',4'-Dihydroxyacetophenone",-0.0019907505576240436,0.963905539684777,0.963905539684777
